# Created At: Sun Aug 25 2024 14:56:20 GMT-0400 (Eastern Daylight Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=GRIA1%2CGRIA2%2CGRIA3%2CGRIA4%2CGRIK1%2CGRIK2%2CGRIK3%2CGRIK4%2CGRIK5%2CGRIN1%2CGRIN2A%2CGRIN2B%2CGRIN2C%2CGRIN2D%2CGRIN3A%2CGRIN3B%2CGRID1%2CGRID2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
breast,mast cell,1299,0.00%,GRIN2A,1.9906119108200073,0.29556171794059327,4
breast,mast cell,1299,0.00%,GRIN2B,1.9275039037068684,0.2645888157030837,3
breast,mast cell,1299,0.00%,GRIN2C,1.831502914428711,0.21747230241680823,22
breast,mast cell,1299,0.00%,GRIN2D,1.7523884773254395,0.17864357309911347,4
breast,mast cell,1299,0.00%,GRIN3A,1.9537181854248047,0.27745457429724363,11
breast,mast cell,1299,0.00%,GRIN3B,1.579101800918579,0.0935958662718255,1
breast,mast cell,1299,0.00%,GRID1,2.0691295970569956,0.3340975667335013,11
breast,mast cell,1299,0.00%,GRID2,1.9648284912109375,0.2829074230035227,15
colon,aggregated,276172,0.07%,GRIA1,1.611500363233613,0.10949682003543251,205
colon,aggregated,276172,0.15%,GRIA2,1.9099193928065334,0.25595847920657433,419
colon,aggregated,276172,0.18%,GRIA3,1.6976024575224091,0.15175503528965006,509
colon,aggregated,276172,0.34%,GRIA4,1.7219303951987737,0.16369499140234098,948
colon,aggregated,276172,0.07%,GRIK1,1.6696045842002984,0.1380139042837342,199
colon,aggregated,276172,0.46%,GRIK2,1.7724949902112883,0.18851168788261716,1269
colon,aggregated,276172,0.11%,GRIK3,1.8161702203592194,0.20994713950680513,301
colon,aggregated,276172,0.13%,GRIK4,1.6114357037251221,0.10946508566879945,358
colon,aggregated,276172,0.08%,GRIK5,1.6692202456362613,0.1378252740082022,222
colon,aggregated,276172,0.45%,GRIN1,1.7873757998662156,0.1958150695570021,1238
colon,aggregated,276172,0.05%,GRIN2A,1.7500735691615514,0.17750743479386838,140
colon,aggregated,276172,0.10%,GRIN2B,1.7572840580709805,0.1810462847479798,269
colon,aggregated,276172,0.01%,GRIN2C,1.6956871032714844,0.15081499483079458,40
colon,aggregated,276172,0.06%,GRIN2D,1.6538725401225842,0.13029274360214796,152
colon,aggregated,276172,0.09%,GRIN3A,1.6449260790813018,0.12590189249023515,241
colon,aggregated,276172,0.01%,GRIN3B,1.6742144690619574,0.14027639869098685,36
colon,aggregated,276172,0.10%,GRID1,1.6076171875,0.10759098862242913,285
colon,aggregated,276172,0.26%,GRID2,1.7081882417454914,0.15695045303214183,707
colon,mast cell,1705,0.00%,GRIA1,1.9956902265548706,0.2980541144522616,1
colon,mast cell,1705,,GRIA2,,,
colon,mast cell,1705,0.00%,GRIA3,1.9351427555084229,0.2683379027188122,2
colon,mast cell,1705,,GRIA4,,,
colon,mast cell,1705,0.00%,GRIK1,1.5549752712249756,0.08175475957690702,2
colon,mast cell,1705,0.00%,GRIK2,1.6742221514383953,0.14028016913954397,3
colon,mast cell,1705,,GRIK3,,,
colon,mast cell,1705,0.00%,GRIK4,1.9980249404907227,0.29919997327106496,3
colon,mast cell,1705,0.00%,GRIK5,1.7500091280255998,0.17747580760272091,7
colon,mast cell,1705,,GRIN1,,,
colon,mast cell,1705,0.00%,GRIN2A,1.394525408744812,0.0030072577629049685,1
colon,mast cell,1705,0.00%,GRIN2B,1.3883980512619019,0,1
colon,mast cell,1705,0.00%,GRIN2C,1.550471544265747,0.07954436661421149,2
colon,mast cell,1705,0.00%,GRIN2D,2.482779026031494,0.5371133789942151,2
colon,mast cell,1705,0.00%,GRIN3A,1.6990985870361328,0.15248932361981615,2
colon,mast cell,1705,,GRIN3B,,,
colon,mast cell,1705,,GRID1,,,
colon,mast cell,1705,0.00%,GRID2,1.7198283672332764,0.1626633329860145,4
endocrine gland,aggregated,378515,0.01%,GRIA1,1.758194333031064,0.18149304037595226,21
endocrine gland,aggregated,378515,0.02%,GRIA2,1.810955592564174,0.20738784213252134,84
endocrine gland,aggregated,378515,0.03%,GRIA3,1.6067322998046876,0.10715669285978602,125
endocrine gland,aggregated,378515,0.01%,GRIA4,2.1099295365182975,0.35412184881811365,19
endocrine gland,aggregated,378515,0.01%,GRIK1,1.9057077350038472,0.25389143143644616,33
endocrine gland,aggregated,378515,0.01%,GRIK2,2.003086417061942,0.3016841052566745,35
endocrine gland,aggregated,378515,0.00%,GRIK3,1.5737438201904297,0.09096621243113433,6
endocrine gland,aggregated,378515,0.01%,GRIK4,1.9034832763671874,0.25279968503157035,50
endocrine gland,aggregated,378515,0.03%,GRIK5,1.7354393005371094,0.17032505347401952,96
endocrine gland,aggregated,378515,0.07%,GRIN1,1.6257529258728027,0.11649186312824,256
endocrine gland,aggregated,378515,0.03%,GRIN2A,1.667617943173363,0.137038876848658,105
endocrine gland,aggregated,378515,0.00%,GRIN2B,2.014364719390869,0.3072194053147587,16
endocrine gland,aggregated,378515,0.03%,GRIN2C,2.0142322756209463,0.30715440297788515,106
endocrine gland,aggregated,378515,0.01%,GRIN2D,1.5672797000769414,0.08779367427812856,33
endocrine gland,aggregated,378515,0.01%,GRIN3A,1.6582911900111608,0.1324613814229447,35
endocrine gland,aggregated,378515,0.00%,GRIN3B,1.5675134658813477,0.08790840465447158,8
endocrine gland,aggregated,378515,0.07%,GRID1,1.7210915858052167,0.16328331049953623,251
endocrine gland,aggregated,378515,0.04%,GRID2,1.7946143184147827,0.19936767623252633,141
endocrine gland,mast cell,162,,GRIA1,,,
endocrine gland,mast cell,162,,GRIA2,,,
endocrine gland,mast cell,162,,GRIA3,,,
endocrine gland,mast cell,162,,GRIA4,,,
endocrine gland,mast cell,162,,GRIK1,,,
endocrine gland,mast cell,162,,GRIK2,,,
endocrine gland,mast cell,162,,GRIK3,,,
endocrine gland,mast cell,162,,GRIK4,,,
endocrine gland,mast cell,162,,GRIK5,,,
endocrine gland,mast cell,162,,GRIN1,,,
endocrine gland,mast cell,162,,GRIN2A,,,
endocrine gland,mast cell,162,,GRIN2B,,,
endocrine gland,mast cell,162,,GRIN2C,,,
endocrine gland,mast cell,162,,GRIN2D,,,
endocrine gland,mast cell,162,,GRIN3A,,,
endocrine gland,mast cell,162,,GRIN3B,,,
endocrine gland,mast cell,162,,GRID1,,,
endocrine gland,mast cell,162,,GRID2,,,
esophagogastric junction,aggregated,11883,,GRIA1,,,
esophagogastric junction,aggregated,11883,0.03%,GRIA2,1.7612290382385254,0.18298244927998958,3
esophagogastric junction,aggregated,11883,0.03%,GRIA3,1.5865821838378906,0.09726717803490502,3
esophagogastric junction,aggregated,11883,0.01%,GRIA4,2.2906131744384766,0.4427999248534785,1
esophagogastric junction,aggregated,11883,0.01%,GRIK1,1.4225355386734009,0.016754404212685686,1
esophagogastric junction,aggregated,11883,,GRIK2,,,
esophagogastric junction,aggregated,11883,,GRIK3,,,
